Order ID,Order Date,Ship Date,Ship Mode,Segment,Market,Category,Sales,Order Priority
MX-2014-PA1906036-41671,1/02/2021,3/02/2021,First Class,Home Office,LATAM,Office Supplies,$53.12,High
MX-2014-PA1906036-41671,1/02/2021,3/02/2021,First Class,Home Office,LATAM,Office Supplies,$63.04,High
MX-2014-PA1906036-41671,1/02/2021,3/02/2021,First Class,Home Office,LATAM,Technology,$156.18,High
US-2014-MH1778536-41671,1/02/2021,7/02/2021,Standard Class,Corporate,LATAM,Furniture,$305.47,Medium
MX-2014-PA1906036-41671,1/02/2021,3/02/2021,First Class,Home Office,LATAM,Furniture,$266.94,High
MX-2014-PA1906036-41671,1/02/2021,3/02/2021,First Class,Home Office,LATAM,Office Supplies,$22.91,High
MX-2014-PA1906036-41671,1/02/2021,3/02/2021,First Class,Home Office,LATAM,Office Supplies,$19.94,High
US-2014-MH1778536-41671,1/02/2021,7/02/2021,Standard Class,Corporate,LATAM,Furniture,$306.32,Medium
MX-2014-PA1906036-41671,1/02/2021,3/02/2021,First Class,Home Office,LATAM,Office Supplies,$168.29,High
MX-2014-PA1906036-41671,1/02/2021,3/02/2021,First Class,Home Office,LATAM,Office Supplies,$225.73,High
MX-2014-AB1060028-41671,1/02/2021,7/02/2021,Standard Class,Corporate,LATAM,Office Supplies,$24.72,Low
IT-2014-SS2041091-41671,1/02/2021,1/02/2021,Same Day,Consumer,Europe,Office Supplies,$694.47,High
ES-2014-LD1700545-41671,1/02/2021,7/02/2021,Standard Class,Consumer,Europe,Office Supplies,$17.10,Low
ES-2014-EA1403545-41671,1/02/2021,6/02/2021,Standard Class,Corporate,Europe,Office Supplies,$201.84,Medium
ES-2014-KA1652564-41671,1/02/2021,5/02/2021,Second Class,Consumer,Europe,Office Supplies,$88.83,Medium
ES-2014-SG2008045-41671,1/02/2021,5/02/2021,Standard Class,Consumer,Europe,Furniture,$303.86,Medium
ES-2014-LD1700545-41671,1/02/2021,7/02/2021,Standard Class,Consumer,Europe,Office Supplies,$22.11,Low
US-2014-CK12760140-41671,1/02/2021,3/02/2021,First Class,Corporate,USCA,Office Supplies,$56.45,Medium
IN-2014-RA199457-41671,1/02/2021,5/02/2021,Standard Class,Consumer,Asia Pacific,Furniture,$201.12,Medium
CA-2014-NS18640140-41672,2/02/2021,8/02/2021,Standard Class,Corporate,USCA,Furniture,$73.78,Medium
CA-2014-AB10105140-41672,2/02/2021,7/02/2021,Standard Class,Consumer,USCA,Office Supplies,$117.96,Medium
MX-2014-TN2104028-41672,2/02/2021,6/02/2021,Second Class,Home Office,LATAM,Office Supplies,$40.40,Medium
