Order ID,Order Date,Ship Date,Ship Mode,Segment,Market,Category,Sales,Order Priority
MX-2013-BD1172539-41275,1/01/2020,3/01/2020,First Class,Consumer,LATAM,Office Supplies,417.34,High
US-2013-KC1667555-41275,1/01/2020,5/01/2020,Standard Class,Corporate,LATAM,Office Supplies,13.608,High
US-2013-KC1667555-41275,1/01/2020,5/01/2020,Standard Class,Corporate,LATAM,Technology,102.624,High
US-2013-KC1667555-41275,1/01/2020,5/01/2020,Standard Class,Corporate,LATAM,Furniture,178.248,High
MX-2013-PO1886582-41275,1/01/2020,5/01/2020,Standard Class,Consumer,LATAM,Office Supplies,27.2,Medium
MX-2013-EN1378082-41275,1/01/2020,5/01/2020,Standard Class,Consumer,LATAM,Office Supplies,46.56,High
CA-2013-CB12535140-41275,1/01/2020,3/01/2020,Second Class,Corporate,USCA,Office Supplies,20.04,Critical
CA-2013-CB12535140-41275,1/01/2020,3/01/2020,Second Class,Corporate,USCA,Office Supplies,85.52,Critical
CA-2013-VW21775140-41275,1/01/2020,8/01/2020,Standard Class,Corporate,USCA,Office Supplies,23.68,Medium
CA-2013-VW21775140-41275,1/01/2020,8/01/2020,Standard Class,Corporate,USCA,Technology,89.584,Medium
CA-2013-VW21775140-41275,1/01/2020,8/01/2020,Standard Class,Corporate,USCA,Technology,62.982,Medium
CA-2013-VW21775140-41275,1/01/2020,8/01/2020,Standard Class,Corporate,USCA,Furniture,452.45,Medium
CA-2013-VW21775140-41275,1/01/2020,8/01/2020,Standard Class,Corporate,USCA,Technology,1188,Medium
CA-2013-CB12535140-41275,1/01/2020,3/01/2020,Second Class,Corporate,USCA,Office Supplies,9.84,Critical
ES-2013-JP1546045-41275,1/01/2020,5/01/2020,Standard Class,Corporate,Europe,Office Supplies,26.37,Medium
ES-2013-VB21745120-41275,1/01/2020,8/01/2020,Standard Class,Corporate,Europe,Office Supplies,61.32,Medium
ID-2013-JS1559559-41275,1/01/2020,5/01/2020,Standard Class,Corporate,Asia Pacific,Office Supplies,1229.6865,High
ID-2013-JS1559559-41275,1/01/2020,5/01/2020,Standard Class,Corporate,Asia Pacific,Office Supplies,17.4582,High
ID-2013-JS1559559-41275,1/01/2020,5/01/2020,Standard Class,Corporate,Asia Pacific,Technology,273.8298,High
IN-2013-AR1054058-41275,1/01/2020,5/01/2020,Standard Class,Consumer,Asia Pacific,Technology,413.37,High
ID-2013-JS1559559-41275,1/01/2020,5/01/2020,Standard Class,Corporate,Asia Pacific,Office Supplies,2821.7178,High
IN-2013-AR1054058-41275,1/01/2020,5/01/2020,Standard Class,Consumer,Asia Pacific,Office Supplies,26.67,High
IN-2013-MA1756058-41275,1/01/2020,6/01/2020,Standard Class,Home Office,Asia Pacific,Technology,244.89,High
IN-2013-ML1741027-41275,1/01/2020,5/01/2020,Standard Class,Consumer,Asia Pacific,Technology,916.11,Medium
ID-2013-JS1559559-41275,1/01/2020,5/01/2020,Standard Class,Corporate,Asia Pacific,Technology,264.9942,High
ID-2013-JS1559559-41275,1/01/2020,5/01/2020,Standard Class,Corporate,Asia Pacific,Furniture,627.1722,High
TO-2013-PC8745131-41275,1/01/2020,3/01/2020,First Class,Corporate,Africa,Office Supplies,71.52,Medium
TZ-2013-JE5610129-41275,1/01/2020,6/01/2020,Standard Class,Corporate,Africa,Technology,293.88,Medium
MX-2013-NM1844539-41276,2/01/2020,7/01/2020,Standard Class,Home Office,LATAM,Furniture,116.22,High
MX-2013-EH1412555-41276,2/01/2020,8/01/2020,Standard Class,Home Office,LATAM,Office Supplies,9.792,Low
MX-2013-EH1412555-41276,2/01/2020,8/01/2020,Standard Class,Home Office,LATAM,Furniture,39.156,Low
MX-2013-EH1412555-41276,2/01/2020,8/01/2020,Standard Class,Home Office,LATAM,Furniture,80.832,Low
CA-2013-SF20965140-41276,2/01/2020,7/01/2020,Standard Class,Corporate,USCA,Office Supplies,10.368,Medium
CA-2013-AH10465140-41276,2/01/2020,7/01/2020,Second Class,Consumer,USCA,Office Supplies,7.056,Medium
CA-2013-AH10465140-41276,2/01/2020,7/01/2020,Second Class,Consumer,USCA,Technology,398.4,Medium
CA-2013-AH10465140-41276,2/01/2020,7/01/2020,Second Class,Consumer,USCA,Furniture,1352.3976,Medium
MX-2013-MC1784528-41276,2/01/2020,5/01/2020,Second Class,Consumer,LATAM,Office Supplies,53.5,Medium
UP-2013-EB3840137-41276,2/01/2020,6/01/2020,Standard Class,Corporate,Europe,Office Supplies,134.16,Medium
ES-2013-LC17140120-41276,2/01/2020,4/01/2020,First Class,Consumer,Europe,Office Supplies,93.51,Critical
ES-2013-LC17140120-41276,2/01/2020,4/01/2020,First Class,Consumer,Europe,Office Supplies,358.02,Critical
UP-2013-EB3840137-41276,2/01/2020,6/01/2020,Standard Class,Corporate,Europe,Office Supplies,25.47,Medium
UP-2013-EB3840137-41276,2/01/2020,6/01/2020,Standard Class,Corporate,Europe,Office Supplies,28.23,Medium
ES-2013-EB1384045-41276,2/01/2020,8/01/2020,Standard Class,Corporate,Europe,Furniture,50.25,Low
ID-2013-BG110357-41276,2/01/2020,6/01/2020,Standard Class,Consumer,Asia Pacific,Furniture,54.351,Medium
ID-2013-JE1561059-41276,2/01/2020,7/01/2020,Second Class,Corporate,Asia Pacific,Office Supplies,44.0847,Medium
ID-2013-BG110357-41276,2/01/2020,6/01/2020,Standard Class,Consumer,Asia Pacific,Office Supplies,15.255,Medium
EG-2013-TP1141538-41276,2/01/2020,7/01/2020,Standard Class,Consumer,Africa,Office Supplies,170.46,Medium
EG-2013-TP1141538-41276,2/01/2020,7/01/2020,Standard Class,Consumer,Africa,Office Supplies,207.33,Medium
MX-2013-LH1675039-41277,3/01/2020,7/01/2020,Standard Class,Consumer,LATAM,Office Supplies,97.92,High
CA-2013-CS12250140-41277,3/01/2020,9/01/2020,Standard Class,Corporate,USCA,Office Supplies,39.9,Low
CA-2013-CS12250140-41277,3/01/2020,9/01/2020,Standard Class,Corporate,USCA,Office Supplies,32.34,Low
MX-2013-CA1226518-41277,3/01/2020,9/01/2020,Standard Class,Consumer,LATAM,Office Supplies,23.28,Medium
MX-2013-CA1226518-41277,3/01/2020,9/01/2020,Standard Class,Consumer,LATAM,Technology,108.36,Medium
