id,class
0,1
1,0
2,1
3,0
4,0
5,1
6,0
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,1
19,1
20,0
21,0
22,1
23,1
24,0
25,0
26,0
27,1
28,1
29,1
30,1
31,0
32,0
33,0
34,1
35,1
36,1
37,1
38,1
39,0
40,1
41,1
42,0
43,1
44,0
45,1
46,0
47,0
48,1
49,0
50,0
51,1
52,0
53,0
54,1
55,1
56,1
57,1
58,0
59,0
60,1
61,0
62,0
63,1
64,0
65,1
66,0
67,0
68,1
69,0
70,1
71,0
72,0
73,0
74,1
75,0
76,1
77,1
78,1
79,1
80,0
81,1
82,0
83,0
84,0
85,1
86,0
87,0
88,1
89,0
90,0
91,1
92,1
93,1
94,0
95,1
96,1
97,1
98,0
99,0
100,0
101,1
102,1
103,1
104,0
105,0
106,1
107,1
108,1
109,1
110,0
111,1
112,0
113,0
114,0
115,0
116,1
117,0
118,0
119,1
120,1
121,1
122,0
123,0
124,1
125,1
126,1
127,1
128,1
129,0
130,0
131,1
132,0
133,0
134,1
135,0
136,0
137,0
138,0
139,1
140,0
141,1
142,1
143,0
144,1
145,1
146,0
147,0
148,1
149,0
150,1
151,1
152,1
153,0
154,0
155,1
156,0
157,1
158,0
159,0
160,1
161,0
162,0
163,1
164,0
165,0
166,1
167,0
168,0
169,1
170,0
171,1
172,1
173,0
174,0
175,1
176,0
177,0
178,0
179,0
180,0
181,0
182,1
183,1
184,0
185,0
186,1
187,1
188,0
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,0
198,0
199,1
200,0
201,0
202,1
203,0
204,1
205,1
206,0
207,1
208,1
209,1
210,0
211,0
212,0
213,1
214,0
215,0
216,1
217,1
218,0
219,0
220,0
221,1
222,1
223,0
224,0
225,0
226,0
227,1
228,0
229,1
230,1
231,1
232,0
233,1
234,1
235,0
236,0
237,0
238,1
239,1
240,1
241,1
242,1
243,1
244,0
245,1
246,1
247,0
248,1
249,0
250,0
251,1
252,0
253,1
254,0
255,1
256,0
257,1
258,0
259,1
260,0
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,0
269,0
270,0
271,1
272,0
273,0
274,1
275,1
276,0
277,1
278,1
279,1
280,1
281,0
282,1
283,1
284,0
285,1
286,0
287,1
288,1
289,0
290,0
291,1
292,0
293,1
294,1
295,0
296,1
297,0
298,1
299,0
300,0
301,1
302,0
303,1
304,0
305,0
306,0
307,1
308,1
309,0
310,0
311,0
312,1
313,0
314,0
315,1
316,1
317,1
318,1
319,0
320,0
321,1
322,1
323,1
324,0
325,0
326,1
327,0
328,0
329,1
330,0
331,0
332,1
333,0
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,0
342,1
343,0
344,0
345,0
346,0
347,1
348,0
349,0
350,1
351,1
352,1
353,1
354,1
355,0
356,0
357,1
358,1
359,1
360,1
361,0
362,1
363,0
364,1
365,1
366,0
367,1
368,0
369,1
370,0
371,1
372,0
373,0
374,0
375,0
376,1
377,1
378,1
379,0
380,0
381,1
382,0
383,1
384,0
385,0
386,1
387,1
388,0
389,1
390,0
391,1
392,1
393,0
394,0
395,0
396,1
397,1
398,0
399,0
400,1
401,1
402,0
403,1
404,1
405,0
406,0
407,1
408,0
409,0
410,1
411,0
412,0
413,0
414,0
415,1
416,0
417,0
418,1
419,0
420,1
421,1
422,1
423,1
424,0
425,1
426,0
427,0
428,1
429,1
430,0
431,0
432,1
433,0
434,0
435,0
436,1
437,0
438,1
439,1
440,0
441,0
442,1
443,0
444,1
445,1
446,1
447,0
448,0
449,1
450,1
451,1
452,0
453,0
454,1
455,1
456,1
457,1
458,0
459,1
460,0
461,0
462,0
463,0
464,0
465,1
466,1
467,0
468,0
469,0
470,1
471,1
472,1
473,0
474,0
475,0
476,0
477,0
478,0
479,1
480,1
481,0
482,1
483,0
484,0
485,1
486,0
487,0
488,1
489,1
490,0
491,0
492,1
493,1
494,1
495,1
496,0
497,1
498,0
499,0
500,1
501,0
502,0
503,1
504,0
505,1
506,0
507,0
508,1
509,1
510,1
511,1
512,0
513,1
514,0
515,0
516,1
517,0
518,1
519,0
520,1
521,1
522,1
523,0
524,1
525,1
526,1
527,0
528,0
529,0
530,0
531,0
532,0
533,1
534,0
535,0
536,0
537,0
538,0
539,1
540,1
541,1
542,1
543,0
544,1
545,0
546,1
547,1
548,1
549,1
550,0
551,1
552,1
553,1
554,0
555,1
556,0
557,0
558,0
559,0
560,1
561,0
562,1
563,0
564,0
565,1
566,1
567,0
568,0
569,0
570,1
571,0
572,0
573,1
574,0
575,0
576,0
577,0
578,0
579,1
580,1
581,0
582,1
583,0
584,0
585,0
586,0
587,0
588,1
589,1
590,0
591,0
592,0
593,1
594,1
595,1
596,1
597,1
598,0
599,1
600,1
601,1
602,0
603,1
604,1
605,1
606,0
607,1
608,0
609,1
610,0
611,1
612,1
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,1
624,1
625,0
626,0
627,0
628,1
629,0
630,1
631,0
632,1
633,1
634,1
635,0
636,0
637,1
638,1
639,0
640,0
641,0
642,1
643,1
644,0
645,1
646,0
647,0
648,0
649,1
650,0
651,0
652,0
653,0
654,0
655,1
656,0
657,0
658,1
659,1
660,1
661,1
662,1
663,1
664,0
665,0
666,0
667,0
668,0
669,1
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,1
678,0
679,0
680,0
681,0
682,1
683,0
684,0
685,0
686,0
687,0
688,1
689,0
690,1
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,1
699,0
700,1
701,0
702,1
703,0
704,1
705,0
706,1
707,0
708,1
709,1
710,0
711,1
712,1
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,1
723,0
724,1
725,1
726,0
727,0
728,1
729,0
730,1
731,0
732,0
733,0
734,0
735,1
736,1
737,0
738,0
739,0
740,0
741,1
742,1
743,1
744,1
745,0
746,1
747,0
748,0
749,1
750,1
751,1
752,1
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,0
763,0
764,1
765,1
766,0
767,1
768,1
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,1
777,0
778,0
779,1
780,1
781,1
782,0
783,0
784,0
785,1
786,1
787,0
788,0
789,1
790,1
791,0
792,1
793,1
794,0
795,0
796,1
797,1
798,1
799,0
800,1
801,1
802,0
803,0
804,1
805,0
806,0
807,0
808,0
809,1
810,0
811,0
812,0
813,0
814,1
815,1
816,1
817,1
818,1
819,0
820,0
821,1
822,0
823,1
824,1
825,1
826,1
827,1
828,0
829,0
830,1
831,0
832,1
833,1
834,0
835,1
836,0
837,1
838,0
839,1
840,1
841,0
842,0
843,0
844,1
845,1
846,0
847,0
848,0
849,0
850,1
851,1
852,1
853,0
854,0
855,1
856,0
857,1
858,0
859,0
860,1
861,1
862,1
863,0
864,0
865,1
866,0
867,1
868,1
869,1
870,0
871,0
872,0
873,1
874,0
875,1
876,0
877,1
878,1
879,0
880,0
881,0
882,1
883,1
884,1
885,1
886,0
887,0
888,1
889,0
890,1
891,1
892,1
893,0
894,1
895,1
896,1
897,1
898,1
899,0
900,0
901,1
902,1
903,1
904,1
905,1
906,0
907,1
908,0
909,0
910,1
911,0
912,1
913,1
914,1
915,1
916,0
917,0
918,0
919,0
920,0
921,0
922,1
923,0
924,0
925,1
926,0
927,0
928,0
929,1
930,0
931,0
932,1
933,0
934,1
935,0
936,0
937,1
938,0
939,0
940,0
941,0
942,0
943,0
944,1
945,0
946,1
947,1
948,0
949,0
950,1
951,0
952,1
953,1
954,0
955,0
956,1
957,0
958,1
959,0
960,1
961,1
962,0
963,1
964,0
965,1
966,1
967,0
968,0
969,1
970,1
971,1
972,1
973,1
974,0
975,0
976,1
977,1
978,0
979,0
980,0
981,1
982,1
983,1
984,1
985,0
986,0
987,0
988,1
989,0
990,0
991,1
992,0
993,1
994,1
995,0
996,1
997,0
998,1
999,1
