comment_text,user_id,photo_id
unde at dolorem,2,1
quae ea ducimus,3,1
alias a voluptatum,5,1
facere suscipit sunt,14,1
totam eligendi quaerat,17,1
vitae quia aliquam,21,1
exercitationem occaecati neque,24,1
sint ad fugiat,31,1
nesciunt aut nesciunt,36,1
laudantium ut nostrum,41,1
omnis aut asperiores,52,1
et eum molestias,54,1
alias pariatur neque,55,1
amet iure adipisci,57,1
cum enim repellat,62,1
provident dolorem non,63,1
eos consequuntur impedit,66,1
voluptas nemo blanditiis,71,1
id fugit dolores,72,1
occaecati tenetur exercitationem,75,1
quasi deserunt voluptates,76,1
reprehenderit sunt cumque,78,1
non impedit ut,87,1
voluptatum sit id,91,1
tenetur voluptas aspernatur,98,1
in veritatis quia,3,2
quis facilis ea,5,2
quia est sit,14,2
voluptatem doloremque accusamus,15,2
consectetur inventore quis,18,2
sunt dolorem reprehenderit,19,2
omnis omnis nulla,21,2
ullam in facilis,24,2
possimus consequuntur occaecati,28,2
voluptas dicta aut,30,2
explicabo qui ipsum,31,2
qui pariatur dolor,35,2
ratione debitis laborum,36,2
voluptate id dignissimos,41,2
tempore quod possimus,42,2
corporis ut necessitatibus,43,2
culpa aut aut,47,2
rem quia et,48,2
eaque dolor velit,54,2
non odit rerum,57,2
accusamus nobis quod,60,2
beatae dicta recusandae,65,2
culpa a ut,66,2
quis aliquam velit,71,2
aspernatur occaecati tempore,75,2
vel eos et,76,2
quam fugiat tempore,82,2
dolor alias aut,85,2
ut in eaque,87,2
totam nostrum dicta,91,2
in saepe sit,95,2
necessitatibus ipsam et,5,3
non reiciendis nam,14,3
modi magnam quia,15,3
architecto tempora natus,21,3
molestiae iure ullam,24,3
adipisci aut dicta,27,3
quia dolores voluptatem,35,3
incidunt suscipit et,36,3
rerum vel ut,37,3
aperiam delectus odio,38,3
dicta inventore ea,41,3
quos est quia,43,3
minima est odio,44,3
libero odit aut,50,3
quia et quod,54,3
nobis pariatur qui,57,3
nostrum fugiat et,62,3
iusto et eius,63,3
et placeat ipsam,66,3
placeat repudiandae sit,67,3
natus sit harum,70,3
consectetur qui at,71,3
reiciendis reiciendis ad,75,3
dolores accusantium sint,76,3
cum adipisci alias,79,3
facere dicta est,91,3
temporibus qui error,97,3
aut rem officia,5,4
rerum ea harum,6,4
laboriosam eos a,8,4
laboriosam aut occaecati,11,4
alias sapiente dolore,14,4
aut voluptatem distinctio,15,4
error voluptatum eius,18,4
magni magni aspernatur,20,4
laboriosam quidem numquam,21,4
ut possimus distinctio,22,4
molestiae veritatis aut,24,4
vitae iusto labore,26,4
id assumenda excepturi,33,4
animi ea distinctio,36,4
eaque sint veritatis,41,4
expedita exercitationem officiis,42,4
cupiditate qui facere,47,4
est ut quisquam,50,4
provident et vel,54,4
similique autem quia,57,4
dolorum exercitationem tempora,66,4
incidunt aut perspiciatis,67,4
occaecati assumenda voluptas,71,4
vel ipsam ut,75,4
ea autem assumenda,76,4
quia facilis non,79,4
perspiciatis et sit,85,4
voluptatem possimus ea,91,4
molestiae perferendis quaerat,95,4
error consectetur dolor,97,4
molestiae quia pariatur,98,4
quia omnis ab,100,4
doloremque sit totam,5,5
aliquid at eum,14,5
at est ipsam,17,5
optio quidem dolor,21,5
dolores voluptates sit,22,5
molestiae hic est,24,5
possimus quia adipisci,26,5
nostrum modi minima,28,5
aperiam sint aut,36,5
iusto tempora at,41,5
quae et ratione,42,5
consequatur magnam ut,44,5
perspiciatis dolorum ad,48,5
ipsa excepturi neque,54,5
explicabo nulla sed,57,5
nihil voluptas eligendi,60,5
porro doloribus corporis,66,5
libero ut eveniet,71,5
enim ut et,72,5
non cumque aliquam,75,5
rerum amet assumenda,76,5
omnis nihil eligendi,79,5
officiis nulla beatae,84,5
vitae qui voluptates,91,5
ut non ipsam,94,5
nostrum nam et,95,5
rerum repellendus voluptas,97,5
modi ut unde,5,6
illum rem dignissimos,6,6
vero quis aliquam,11,6
ipsam numquam iure,14,6
atque porro cum,19,6
delectus delectus qui,21,6
quisquam itaque quisquam,24,6
voluptatem error repellendus,26,6
provident facilis esse,36,6
sed quia iure,41,6
incidunt ipsum voluptatem,46,6
eveniet reprehenderit repellendus,47,6
quo veritatis error,52,6
vel quasi vel,54,6
ullam ullam nam,57,6
rerum deserunt nisi,61,6
voluptatem id molestiae,62,6
consequuntur accusamus eligendi,66,6
velit fuga voluptates,71,6
consequatur provident ratione,73,6
impedit explicabo veniam,75,6
